ruleset,race_species,subclass,level,favored_enemy_uses,hunters_mark_damage,known_spells,prepared_spells,weapon_mastery,expertise_count,extra_attack,roving,tireless,relentless_hunter,natures_veil,precise_hunter,feral_senses,foe_slayer,companion_attacks,warnings,result
dnd_2014,Human,Hunter,1,0,1d6,0,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,2,0,1d6,2,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,3,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,4,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,5,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,6,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,7,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,8,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,9,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,10,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,11,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,12,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,13,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,14,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,15,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,16,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,17,0,1d6,10,0,0,0,True,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Hunter,18,0,1d6,10,0,0,0,True,False,False,False,False,False,True,False,0,,PASS
dnd_2014,Human,Hunter,19,0,1d6,11,0,0,0,True,False,False,False,False,False,True,False,0,,PASS
dnd_2014,Human,Hunter,20,0,1d6,11,0,0,0,True,False,False,False,False,False,True,True,0,,PASS
dnd_2014,Human,Beast Master,1,0,1d6,0,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Beast Master,2,0,1d6,2,0,0,0,False,False,False,False,False,False,False,False,0,,PASS
dnd_2014,Human,Beast Master,3,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,4,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,5,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,6,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,7,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,8,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,9,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,10,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,1,,PASS
dnd_2014,Human,Beast Master,11,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,12,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,13,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,14,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,15,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,16,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,17,0,1d6,10,0,0,0,True,False,False,False,False,False,False,False,2,,PASS
dnd_2014,Human,Beast Master,18,0,1d6,10,0,0,0,True,False,False,False,False,False,True,False,2,,PASS
dnd_2014,Human,Beast Master,19,0,1d6,11,0,0,0,True,False,False,False,False,False,True,False,2,,PASS
dnd_2014,Human,Beast Master,20,0,1d6,11,0,0,0,True,False,False,False,False,False,True,True,2,,PASS
dnd_2014,Dwarf,Hunter,1,0,1d6,0,0,0,0,False,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,2,0,1d6,2,0,0,0,False,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,3,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,4,0,1d6,3,0,0,0,False,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,5,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,6,0,1d6,4,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,7,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,8,0,1d6,5,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,9,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,10,0,1d6,6,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,11,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,12,0,1d6,7,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,13,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,14,0,1d6,8,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,15,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,16,0,1d6,9,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,17,0,1d6,10,0,0,0,True,False,False,False,False,False,False,False,0,Subrace seçimi zorunlu,PASS
dnd_2014,Dwarf,Hunter,18,0,1d6,10,0,0,0,True,False,False,False,False,False,True,False,0,Subrace seçimi zorunlu,PASS
