Ruleset,Race/Species,Subclass,Level,Sorcery Points,Cantrips,Known Spells,Prepared Spells,Metamagic Choices,Innate Sorcery,Sorcerous Restoration,Sorcery Incarnate,Arcane Apotheosis,Result
dnd_2014,Human,Draconic Bloodline,1,0,4,2,0,0,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,2,2,4,3,0,0,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,3,3,4,4,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,4,4,5,5,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,5,5,5,6,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,6,6,5,7,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,7,7,5,8,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,8,8,5,9,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,9,9,5,10,0,2,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,10,10,6,11,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,11,11,6,12,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,12,12,6,12,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,13,13,6,13,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,14,14,6,13,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,15,15,6,14,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,16,16,6,14,0,3,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,17,17,6,15,0,4,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,18,18,6,15,0,4,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,19,19,6,15,0,4,False,False,False,False,PASS
dnd_2014,Human,Draconic Bloodline,20,20,6,15,0,4,False,True,False,False,PASS
dnd_2014,Human,Wild Magic,1,0,4,2,0,0,False,False,False,False,PASS
dnd_2014,Human,Wild Magic,2,2,4,3,0,0,False,False,False,False,PASS
dnd_2014,Human,Wild Magic,3,3,4,4,0,2,False,False,False,False,PASS
dnd_2014,Human,Wild Magic,4,4,5,5,0,2,False,False,False,False,PASS
dnd_2014,Human,Wild Magic,5,5,5,6,0,2,False,False,False,False,PASS
